"SAMPLING_REQUIREMENT","SPECIES_CODE","LENGTH_WEIGHT_A_MALE","LENGTH_WEIGHT_B_MALE","LENGTH_WEIGHT_A_FEMALE","LENGTH_WEIGHT_B_FEMALE","LENGTH_WEIGHT_A_UNSPECIFIED","LENGTH_WEIGHT_B_UNSPECIFIED","MAXIMUM_LENGTH","MATURE_LENGTH","LENGTH_TYPE","LENGTH_UNITS","WEIGHT_TYPE","WEIGHT_UNITS"
"Georges Bank",10,0.0065333739999999998,3.0850525759999998,0.0065333739999999998,3.0850525759999998,0.0065333739999999998,3.0850525759999998,140,30,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",11,0.0083893639999999998,3.0322801240000001,0.0083893639999999998,3.0322801240000001,0.0083893639999999998,3.0322801240000001,90,20,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",12,0.0030656580000000002,3.2374921090000002,0.0030656580000000002,3.2374921090000002,0.0030656580000000002,3.2374921090000002,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",13,0.002846173,3.2280433159999999,0.002846173,3.2280433159999999,0.002846173,3.2280433159999999,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",14,0.003290168,3.1855133769999999,0.003576634,3.1645151509999998,0.0058526430000000003,2.9807069070000001,75,15,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",15,0.0041956479999999997,3.2139123879999998,0.0041956479999999997,3.2139123879999998,0.0041956479999999997,3.2139123879999998,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",16,0.0089118570000000005,3.0404422229999999,0.0089118570000000005,3.0404422229999999,0.0089118570000000005,3.0404422229999999,105,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",19,0.0021944669999999999,3.3342054609999998,0.0021944669999999999,3.3342054609999998,0.0021944669999999999,3.3342054609999998,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",20,0.0099647529999999998,3.1179571209999999,0.0099647529999999998,3.1179571209999999,0.0099647529999999998,3.1179571209999999,29,,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",23,0.0105072,3.1110768480000002,0.0105072,3.1110768480000002,0.0105072,3.1110768480000002,60,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",30,0.0045219179999999998,3.2102227729999999,0.0045219179999999998,3.2102227729999999,0.0045219179999999998,3.2102227729999999,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",31,0.0034509929999999999,3.244593144,0.0034509929999999999,3.244593144,0.0034509929999999999,3.244593144,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",40,0.0038923989999999999,3.2009235519999999,0.0038923989999999999,3.2009235519999999,0.0038923989999999999,3.2009235519999999,95,15,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",41,0.002533558,3.2393049390000002,0.002533558,3.2393049390000002,0.002533558,3.2393049390000002,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",42,0.0044525249999999997,3.171060631,0.0044525249999999997,3.171060631,0.0044525249999999997,3.171060631,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",43,0.0096523700000000004,3.0510553960000002,0.0096523700000000004,3.0510553960000002,0.0096523700000000004,3.0510553960000002,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",44,0.0087517710000000002,2.9166530220000002,0.0087517710000000002,2.9166530220000002,0.0087517710000000002,2.9166530220000002,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",49,,,,,,,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",50,0.0076787560000000001,3.0270061570000002,0.0076787560000000001,3.0270061570000002,0.0076787560000000001,3.0270061570000002,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",51,0.0069121180000000001,3.0873046249999998,0.0069121180000000001,3.0873046249999998,0.0069121180000000001,3.0873046249999998,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",52,0.013938513,2.9041921510000002,0.013938513,2.9041921510000002,0.013938513,2.9041921510000002,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",60,0.0000032499999999999998,3.121436385,0.0000032499999999999998,3.121436385,0.0000032499999999999998,3.121436385,400,0,"Total Length","Millimeters","Total Weight","Grams"
"Georges Bank",61,0.0051616780000000003,3.2437838050000001,0.0051616780000000003,3.2437838050000001,0.0051616780000000003,3.2437838050000001,55,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",62,0.0070595520000000002,3.1561022570000001,0.0070595520000000002,3.1561022570000001,0.0070595520000000002,3.1561022570000001,35,0,"Fork Length","Centimeters","Total Weight","Grams"
"Georges Bank",64,0.0029721589999999998,3.1960636660000001,0.0029721589999999998,3.1960636660000001,0.0029721589999999998,3.1960636660000001,30,0,"Fork Length","Centimeters","Total Weight","Grams"
